Sr.,Task,Deadline,Sub Task,Sub Task Deadline,Responsible,Project,Priority,Status,Progress,Key Remarks / Issues,Escalation
,,,Plan multi-device DB/UI behavior,26-Mar-2026,,,,,,,
12,Data Validation & Normalization,30-Mar-2026,Review invalid JSON handling strategy,27-Mar-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,90%,Validation strategy reviewed; structured logging remained a later enhancement.,-
,,,Review duplicate payload handling,30-Mar-2026,,,,,,,
,,,Normalize latest-state update logic,30-Mar-2026,,,,,,,
13,Latest State & API Development,01-Apr-2026,Improve latest-state consistency,31-Mar-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,Per-device readings endpoint and latest-state behavior stabilized.,-
,,,Fix dashboard readings API routing behavior,01-Apr-2026,,,,,,,
,,,Align API output with dashboard needs,01-Apr-2026,,,,,,,
14,Dashboard Reliability & Error Handling,03-Apr-2026,Repair stale realtime dashboard wiring,02-Apr-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,Dashboard polling and realtime flow made reliable for pilot usage.,-
,,,Improve background refresh behavior,03-Apr-2026,,,,,,,
,,,Strengthen failed-refresh and bad-state handling,03-Apr-2026,,,,,,,
15,"Documentation, Setup & Handoff",08-Apr-2026,Clarify .env usage and MySQL-based setup,06-Apr-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,Setup guidance and project continuity documents completed.,-
,,,Write run instructions and verification flow,07-Apr-2026,,,,,,,
,,,Create full project handoff documentation,08-Apr-2026,,,,,,,
16,"PPT Analysis, Feasibility & Roadmap",10-Apr-2026,Analyze full PPT project scope vs current codebase,09-Apr-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,Project direction updated from pilot dashboard to platform roadmap.,-
,,,Assess whether full platform is achievable,09-Apr-2026,,,,,,,
,,,Build weekly roadmap and Week 1 verification plan,10-Apr-2026,,,,,,,
17,Multi-Meter Planning & UX Definition,14-Apr-2026,Define frontend add/remove device behavior,13-Apr-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,"Final UX model approved: store all devices, show only selected device.",-
,,,Define delete cascade expectations,13-Apr-2026,,,,,,,
,,,Define selected-device-only dashboard behavior,14-Apr-2026,,,,,,,
18,Multi-Meter Implementation,21-Apr-2026,Add selectable dashboard controller flow,15-Apr-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,In Progress,90%,Implemented multi-meter dashboard selection and device management; local DB-backed tests require pdo_sqlite to run fully.,"If full local automated DB tests are required, install the pdo_sqlite PHP extension."
,,,Add device management route/controller/page,16-Apr-2026,,,,,,,
,,,Add create/delete API flow with comments,17-Apr-2026,,,,,,,
,,,Add dashboard selector and realtime filtering,20-Apr-2026,,,,,,,
,,,Add tests and verification updates,21-Apr-2026,,,,,,,
19,Final UAT / Closing Window,24-Apr-2026,Verify old and new meter visibility in UI,22-Apr-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Pending,0%,"Final user validation window for meter visibility, add/delete flow, and selected-device-only behavior.","If older devices do not appear in UI, verify devices.type = meter and confirm is_active where applicable."
,,,Verify add/delete flow plus consumer restart operational step,23-Apr-2026,,,,,,,
,,,Verify selected-device-only dashboard with all-device background ingestion,24-Apr-2026,,,,,,,
